fecha_val,vencimiento,dias_a_venc,tipo,strike,precio,delta,imp_vol_pct
2025-12-18,2025-12-25,7,put,1.1644,0.00046,-0.11,5.07
2025-12-18,2025-12-25,7,call,1.1644,0.01041,0.89,5.07
2025-12-18,2025-12-25,7,put,1.169,0.00124,-0.25,5.01
2025-12-18,2025-12-25,7,call,1.169,0.0066,0.75,5.01
2025-12-18,2025-12-25,7,put,1.1714,0.00195,-0.35,4.99
2025-12-18,2025-12-25,7,call,1.1714,0.00494,0.65,4.99
2025-12-18,2025-12-25,7,put,1.1745,0.00331,-0.5,5.03
2025-12-18,2025-12-25,7,call,1.1745,0.00317,0.5,5.03
2025-12-18,2025-12-25,7,put,1.1779,0.0053,-0.66,5.18
2025-12-18,2025-12-25,7,call,1.1779,0.00194,0.35,5.18
2025-12-18,2025-12-25,7,put,1.1805,0.00727,-0.75,5.36
2025-12-18,2025-12-25,7,call,1.1805,0.00127,0.25,5.36
2025-12-18,2025-12-25,7,put,1.1874,0.01329,-0.92,5.54
2025-12-18,2025-12-25,7,call,1.1874,0.00032,0.08,5.54
2025-12-18,2026-01-01,14,put,1.1613,0.00051,-0.1,4.63
2025-12-18,2026-01-01,14,call,1.1613,0.01405,0.9,4.63
2025-12-18,2026-01-01,14,put,1.1681,0.00156,-0.25,4.46
2025-12-18,2026-01-01,14,call,1.1681,0.0083,0.75,4.46
2025-12-18,2026-01-01,14,put,1.1711,0.00244,-0.35,4.44
2025-12-18,2026-01-01,14,call,1.1711,0.00621,0.65,4.44
2025-12-18,2026-01-01,14,put,1.175,0.00414,-0.5,4.46
2025-12-18,2026-01-01,14,call,1.175,0.00401,0.5,4.46
2025-12-18,2026-01-01,14,put,1.1791,0.00663,-0.65,4.58
2025-12-18,2026-01-01,14,call,1.1791,0.00243,0.35,4.58
2025-12-18,2026-01-01,14,put,1.1824,0.00902,-0.75,4.71
2025-12-18,2026-01-01,14,call,1.1824,0.0016,0.25,4.71
2025-12-18,2026-01-01,14,put,1.1907,0.01625,-0.91,5.03
2025-12-18,2026-01-01,14,call,1.1907,0.00047,0.09,5.03
2025-12-18,2026-01-20,33,put,1.1531,0.00086,-0.1,5.17
2025-12-18,2026-01-20,33,call,1.1531,0.02381,0.9,5.17
2025-12-18,2026-01-20,33,put,1.1648,0.03259,-0.25,4.91
2025-12-18,2026-01-20,33,call,1.1648,0.01404,0.75,4.91
2025-12-18,2026-01-20,33,put,1.1698,0.03407,-0.35,4.89
2025-12-18,2026-01-20,33,call,1.1698,0.01054,0.65,4.89
2025-12-18,2026-01-20,33,put,1.1764,0.00696,-0.5,4.96
2025-12-18,2026-01-20,33,call,1.1764,0.00688,0.5,4.96
2025-12-18,2026-01-20,33,put,1.1834,0.01127,-0.65,5.14
2025-12-18,2026-01-20,33,call,1.1834,0.00423,0.35,5.14
2025-12-18,2026-01-20,33,put,1.1892,0.01561,-0.75,5.33
2025-12-18,2026-01-20,33,call,1.1892,0.0028,0.25,5.33
2025-12-18,2026-01-20,33,put,1.2035,0.0281,-0.89,5.98
2025-12-18,2026-01-20,33,call,1.2035,0.00103,0.1,5.98
2025-12-18,2026-02-19,63,put,1.1435,0.90131,-0.1,5.66
2025-12-18,2026-02-19,63,call,1.1435,0.03548,0.89,5.66
2025-12-18,2026-02-19,63,put,1.161,0.30393,-0.25,5.33
2025-12-18,2026-02-19,63,call,1.161,0.02073,0.74,5.33
2025-12-18,2026-02-19,63,put,1.1686,0.00619,-0.35,5.3
2025-12-18,2026-02-19,63,call,1.1686,0.01554,0.64,5.3
2025-12-18,2026-02-19,63,put,1.1783,0.31052,-0.5,5.38
2025-12-18,2026-02-19,63,call,1.1783,0.01022,0.5,5.38
2025-12-18,2026-02-19,63,put,1.1889,0.31706,-0.65,5.59
2025-12-18,2026-02-19,63,call,1.1889,0.00629,0.35,5.59
2025-12-18,2026-02-19,63,put,1.1977,0.32368,-0.75,5.8
2025-12-18,2026-02-19,63,call,1.1977,0.00416,0.25,5.8
2025-12-18,2026-02-19,63,put,1.2204,0.94342,-0.9,6.48
2025-12-18,2026-02-19,63,call,1.2204,0.00143,0.1,6.48
2025-12-18,2026-03-19,91,put,1.1368,0.00168,-0.1,5.92
2025-12-18,2026-03-19,91,call,1.1368,0.04399,0.89,5.92
2025-12-18,2026-03-19,91,put,1.1587,0.10495,-0.25,5.55
2025-12-18,2026-03-19,91,call,1.1587,0.02566,0.74,5.55
2025-12-18,2026-03-19,91,put,1.1681,0.00781,-0.35,5.52
