Vencimiento,Put_Delta,Put_Price,Strike,Call_Price,Call_Delta,Imp_Vol
2025-12-25,-0.11,0.00046,1.1644,0.01041,0.89,5.07%
2025-12-25,-0.25,0.00124,1.1690,0.00660,0.75,5.01%
2025-12-25,-0.35,0.00195,1.1714,0.00494,0.65,4.99%
2025-12-25,-0.50,0.00331,1.1745,0.00317,0.50,5.03%
2025-12-25,-0.66,0.00530,1.1779,0.00194,0.35,5.18%
2025-12-25,-0.75,0.00727,1.1805,0.00127,0.25,5.36%
2025-12-25,-0.92,0.01329,1.1874,0.00032,0.08,5.54%
2026-01-01,-0.10,0.00051,1.1613,0.01405,0.90,4.63%
2026-01-01,-0.25,0.00156,1.1681,0.00830,0.75,4.46%
2026-01-01,-0.35,0.00244,1.1711,0.00621,0.65,4.44%
2026-01-01,-0.50,0.00414,1.1750,0.00401,0.50,4.46%
2026-01-01,-0.65,0.00663,1.1791,0.00243,0.35,4.58%
2026-01-01,-0.75,0.00902,1.1824,0.00160,0.25,4.71%
2026-01-01,-0.91,0.01625,1.1907,0.00047,0.09,5.03%
2026-01-20,-0.10,0.00086,1.1531,0.02381,0.90,5.17%
2026-01-20,-0.25,0.00259,1.1648,0.01404,0.75,4.91%
2026-01-20,-0.35,0.00407,1.1698,0.01054,0.65,4.89%
2026-01-20,-0.50,0.00696,1.1764,0.00688,0.50,4.96%
2026-01-20,-0.65,0.01127,1.1834,0.00423,0.35,5.14%
2026-01-20,-0.75,0.01561,1.1892,0.00280,0.25,5.33%
2026-01-20,-0.89,0.02810,1.2035,0.00103,0.10,5.98%
2026-02-19,-0.10,0.00131,1.1435,0.03548,0.89,5.66%
2026-02-19,-0.25,0.00393,1.1610,0.02073,0.74,5.33%
2026-02-19,-0.35,0.00619,1.1686,0.01554,0.64,5.30%
2026-02-19,-0.50,0.01052,1.1783,0.01022,0.50,5.38%
2026-02-19,-0.65,0.01706,1.1889,0.00629,0.35,5.59%
2026-02-19,-0.75,0.02368,1.1977,0.00416,0.25,5.80%
2026-02-19,-0.90,0.04342,1.2204,0.00143,0.10,6.48%
2026-03-19,-0.10,0.00168,1.1368,0.04399,0.89,5.92%
2026-03-19,-0.25,0.00495,1.1587,0.02566,0.74,5.55%
2026-03-19,-0.35,0.00781,1.1681,0.01921,0.64,5.52%
2026-03-19,-0.50,0.01316,1.1800,0.01271,0.50,5.58%
2026-03-19,-0.65,0.02134,1.1932,0.00780,0.35,5.75%
2026-03-19,-0.75,0.02966,1.2043,0.00516,0.25,6.01%
2026-03-19,-0.90,0.05472,1.2332,0.00179,0.10,6.77%
2026-06-18,-0.10,0.00252,1.1204,0.06536,0.89,6.31%
2026-06-18,-0.25,0.00747,1.1537,0.03761,0.74,5.85%
2026-06-18,-0.35,0.01173,1.1677,0.02813,0.64,5.80%
2026-06-18,-0.49,0.01957,1.1853,0.01876,0.50,5.87%
2026-06-18,-0.64,0.03177,1.2050,0.01158,0.35,6.09%
2026-06-18,-0.74,0.04443,1.2219,0.00768,0.25,6.35%
2026-06-18,-0.89,0.08342,1.2671,0.00271,0.10,7.24%
2026-12-18,-0.10,0.00397,1.0956,0.09802,0.88,6.95%
2026-12-18,-0.25,0.01171,1.1474,0.05581,0.73,6.36%
2026-12-18,-0.35,0.01841,1.1691,0.04155,0.63,6.29%
2026-12-18,-0.49,0.02992,1.1947,0.02833,0.49,6.36%
2026-12-18,-0.64,0.04899,1.2257,0.01749,0.35,6.61%
2026-12-18,-0.74,0.06922,1.2527,0.01165,0.25,6.98%
2026-12-18,-0.88,0.13235,1.3266,0.00426,0.10,8.05%
